126;trener/prowadzący szkolenie;der;Ausbildungsleiter;;0;
127;widok;der;Ausblick;Ausblicke;0;
128;wypukłość;die;Ausbuchtung;;0;
129;wyrażenie/zwrot;der;Ausdruck;Ausdrücke;0;
130;wyjazd;die;Ausfahrt;Ausfahrten;0;
131;wycieczka;der;Ausflug;Ausflüge;0;
132;wykonanie/realizacja;die;Ausführung;Ausführungen;0;
133;wydanie;die;Ausgabe;;0;
134;wyjście;der;Ausgang;Ausgänge;0;
135;wyjście;das;Ausgehen;;0;
136;remis/kompromis;der;Ausgleich;;0;
137;wsparcie;die;Aushilfe;Aushilfen;0;
138;wiadomość;die;Auskunft;Auskünfte;0;
139;zagranica;das;Ausland;brak;0;
140;wyjątek;die;Ausnahme;Ausnahmen;0;
141;poziom wykorzystania;der;Ausnutzungsgrad;Ausnutzungsgrade;0;
142;wymówka;die;Ausrede;Ausreden;0;
143;wypowiedź;die;Aussage;Aussagen;0;
144;widok;die;Aussicht;brak;0;
145;strajk;der;Ausstand;;0;
146;wystawa;die;Ausstellung;Ausstellungen;0;
147;dowód osobisty;der;Ausweis;Ausweise;0;
148;ocena/analiza;die;Auswertung;;0;
149;samochód;das;Auto;Autos;0;
150;autostrada;die;Autobahn;Autobahnen;0;
151;autograf;das;Autogramm;Autogramme;0;
152;automat;der;Automat;Automaten;0;
153;autor;der;Autor;Autoren;0;
154;autorka;die;Autorin;Autorinnen;0;
155;paktykant;der;Azubi;Azubis;0;
156;praktykantka;die;Azubine;Azubines;0;
157;dziecko;das;Baby;Babys;0;
158;licencjat;der;Bachelor;brak;0;
159;piekarz;der;Bäcker;Bäcker;0;
160;piekarnia;die;Bäckerei;Bäckereien;0;
161;piekarka;die;Bäckerin;Bäckerinnen;0;
162;kąpiel;das;Bad;Bäder;0;
163;wanna;die;Badewanne;Badewannen;0;
164;dworzec kolejowy;der;Bahnhof;Bahnhöfe;0;
165;peron;der;Bahnsteig;Bahnsteige;0;
166;balkon;der;Balkon;Balkons;0;
167;banan;die;Banane;Bananen;0;
168;bank;die;Bank;Banken;0;
169;bar;die;Bar;Bars;0;
170;gotówka;das;Bargeld;brak;0;
171;broda;der;Bart;Bärte;0;
172;koszykówka;der;Basketball;brak;0;
173;akumulator/bateria;die;Batterie;Batterien;0;
174;budowa;der;Bau;brak;0;
175;brzuch;der;Bauch;Bäuche;0;
176;rolnik;der;Bauer;Bauer;0;
177;drzwo;der;Baum;Bäume;0;
178;plac budowy;die;Baustelle;Baustellen;0;
179;budowla;das;Bauwerk;Bauwerke;0;
180;kubek;der;Becher;Becher;0;
181;obsługa;die;Bedienung;;0;
182;warunek;die;Bedingung;;0;
183;potrzeba;das;Bedürfnis;;0;
184;zakończenie;die;Beendigung;brak;0;
185;spotkanie;die;Begegnung;;0;
186;zapał;die;Begeisterung;;0;
187;początek;der;Beginn;brak;0;
188;pojemnik/zbiornik;der;Behälter;Behälter;0;
189;upośledzenie;die;Behinderung;;0;
190;urząd;die;Behörde;Behörden;0;
191;noga;das;Bein;Beine;0;
192;przykład;der;Beispiel;Beispiele;0;
193;składka;der;Beitrag;Beiträge;0;
194;znajomy;der;Bekannte;Bekannten;0;
195;oświetlenie;die;Beleuchtung;;0;
196;nagroda;die;Belohnung;Belohnungen;0;
197;zachowanie;das;Benehmen;;0;
198;benzyna;das;Benzin;brak;0;
199;zbiornik benzyny;der;Benzintank;;0;
200;narada;die;Beratung;Beratungen;0;
201;rozmowa konsultacyjna;das;Beratungsgespräch;;0;
202;zakres;der;Bereich;Bereiche;0;
203;góra;der;Berg;Berge;0;
204;przewodnik górski;der;Bergführer;Bergführer;0;
205;przewodniczka górska;die;Bergführerin;Bergführerinnen;0;
206;sprawozdanie;der;Bericht;Berichte;0;
207;zawód;der;Beruf;Berufe;0;
208;poradnictwo zawodowe;die;Berufsberatung;;0;
209;doświadczenie zawodowe;die;Berufserfahrung;Berufserfahrungen;0;
210;życie zawodowe;das;Berufsleben;;0;
211;szkoła zawodowa;die;Berufsschule;Berufsschulen;0;
212;godziny szczytu;der;Berufsverkehr;;0;
213;wymagania na stanowisko;die;Berufsvoraussetzung;;0;
214;zatrudniony;der;Beschäftigte;;0;
216;opis;die;Beschreibung;Beschreibungen;0;
217;opis;die;Beschreibung;;0;
218;właściciel;der;Besitzer;Besitzer;0;
219;niezwykłość;das;Besondere;;0;
220;narada;die;Besprechung;Besprechungen;0;
221;poprawa;die;Besserung;brak;0;
222;potwierdzenie;die;Bestätigung;Bestätigungen;0;
223;sztućce;das;Besteck;Bestecke;0;
224;istnienie;das;Bestehen;brak;0;
225;wizyta;der;Besuch;Besuche;0;
226;odwiedzający;der;Besucher;Besucher;0;
227;odwiedzająca;die;Besucherin;Besucherinnen;0;
228;uczestnik;der;Beteiligte;;0;
229;uczestnictwo;die;Beteiligung;;0;
230;akcent/nacisk;die;Betonung;;0;
231;kwota;der;Betrag;Beträge;0;
232;dotyczy;der;Betreff;Betreffe;0;
233;wiersz tematu;die;Betreffzeile;;0;
